iid,title,genres
1374,Rob Roy (1995),Drama|Romance|War
2819,"Addiction, The (1995)",Horror
1187,Batman Forever (1995),Action|Adventure|Comedy|Crime
2292,Belle de jour (1967),Drama
2779,Beyond Rangoon (1995),Drama|War
2465,Blue in the Face (1995),Comedy
557,Canadian Bacon (1994),Comedy|War
1044,Casper (1995),Adventure|Children's
1431,Clockers (1995),Drama
864,Congo (1995),Action|Adventure|Mystery|Sci-Fi
359,Crimson Tide (1995),Drama|Thriller|War
360,Crumb (1994),Documentary
94,Desperado (1995),Action|Romance|Thriller
868,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
96,Die Hard: With a Vengeance (1995),Action|Thriller
2099,"Doom Generation, The (1995)",Comedy|Drama
3393,Feast of July (1995),Drama
1193,First Knight (1995),Action|Adventure|Drama|Romance
1194,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
873,Hackers (1995),Action|Crime|Thriller
1915,Jeffrey (1995),Comedy
874,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
875,Judge Dredd (1995),Action|Adventure|Sci-Fi
2382,Jury Duty (1995),Comedy
877,Kids (1995),Drama
1435,Living in Oblivion (1995),Comedy
878,Lord of Illusions (1995),Horror
2622,Love & Human Remains (1993),Comedy
2511,Mad Love (1995),Drama|Romance
1438,Mallrats (1995),Comedy
1746,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
2764,Moonlight and Valentino (1995),Drama|Romance
3237,Mute Witness (1994),Thriller
891,Nadja (1994),Drama
1326,"Net, The (1995)",Sci-Fi|Thriller
1794,Nine Months (1995),Comedy
388,Party Girl (1995),Comedy
893,"Prophecy, The (1995)",Horror
3303,Reckless (1995),Comedy
900,Safe (1995),Thriller
2049,"Scarlet Letter, The (1995)",Drama
2967,"Show, The (1995)",Documentary
902,Showgirls (1995),Drama
1441,Smoke (1995),Drama
1797,Something to Talk About (1995),Comedy|Drama|Romance
403,Species (1995),Horror|Sci-Fi
2948,"Stars Fell on Henrietta, The (1995)",Drama
406,Strange Days (1995),Action|Crime|Sci-Fi
907,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
2880,"Tie That Binds, The (1995)",Thriller
2881,Three Wishes (1995),Drama
2601,Total Eclipse (1995),Drama|Romance
1906,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
1741,Under Siege 2: Dark Territory (1995),Action
1907,Unstrung Heroes (1995),Comedy|Drama
1611,Unzipped (1995),Documentary
1783,"Walk in the Clouds, A (1995)",Drama|Romance
1177,Waterworld (1995),Action|Adventure
2019,White Man's Burden (1995),Drama
2022,Wild Bill (1995),Western
1426,"Browning Version, The (1994)",Drama
3102,Bushwhacked (1995),Comedy
1613,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
3389,Before the Rain (Pred dozhdot) (1994),Drama
1615,Before Sunrise (1995),Drama|Romance
157,Billy Madison (1995),Comedy
1181,"Babysitter, The (1995)",Drama|Thriller
1784,Boys on the Side (1995),Comedy|Drama
3213,"Cure, The (1995)",Drama
2975,Castle Freak (1995),Horror
850,Circle of Friends (1995),Drama|Romance
555,Clerks (1994),Comedy
625,Don Juan DeMarco (1995),Comedy|Drama|Romance
1621,Disclosure (1994),Drama|Thriller
1743,Drop Zone (1994),Action
2026,Destiny Turns on the Radio (1995),Comedy
2882,Death and the Maiden (1994),Drama|Thriller
860,Dolores Claiborne (1994),Drama|Thriller
171,Dumb & Dumber (1994),Comedy
862,Eat Drink Man Woman (1994),Comedy|Drama
863,Exotica (1994),Drama
2395,Exit to Eden (1994),Comedy
91,Ed Wood (1994),Comedy|Drama
1479,French Kiss (1995),Comedy|Romance
1789,Forget Paris (1995),Comedy|Romance
2604,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
1192,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
1333,Hideaway (1995),Thriller
1356,Fluke (1995),Children's|Drama
872,Farinelli: il castrato (1994),Drama|Musical
1914,Gordy (1995),Comedy
3179,Gumby: The Movie (1995),Animation|Children's
2913,"Glass Shield, The (1994)",Crime|Drama
177,Hoop Dreams (1994),Documentary
876,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
1792,Houseguest (1994),Comedy
178,Immortal Beloved (1994),Drama|Romance
2041,Heavyweights (1994),Children's|Comedy
3077,"Hunted, The (1995)",Action
1793,I.Q. (1994),Comedy|Romance
890,Interview with the Vampire (1994),Drama|Horror
2982,Jefferson in Paris (1995),Drama
2397,"Jerky Boys, The (1994)",Comedy
1205,Junior (1994),Comedy|Sci-Fi
2638,Just Cause (1995),Mystery|Thriller
1206,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
892,Kiss of Death (1995),Crime|Drama|Thriller
132,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
2240,Little Women (1994),Drama
2448,"Little Princess, A (1995)",Children's|Drama
1631,Ladybird Ladybird (1994),Drama
3229,"Enfer, L' (1994)",Drama
58,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
302,Legends of the Fall (1994),Drama|Romance|War|Western
2373,Major Payne (1994),Comedy
905,Little Odessa (1994),Drama
906,My Crazy Life (Mi vida loca) (1993),Drama
2769,Love Affair (1994),Drama|Romance
2698,Losing Isaiah (1995),Drama
200,"Madness of King George, The (1994)",Drama
2054,Mary Shelley's Frankenstein (1994),Drama|Horror
3104,Man of the House (1995),Comedy
2055,Mixed Nuts (1994),Comedy
1099,Milk Money (1994),Comedy|Romance
1798,Miracle on 34th Street (1994),Drama
2918,Miami Rhapsody (1995),Comedy
2056,My Family (1995),Drama
928,Murder in the First (1995),Drama|Thriller
930,Nobody's Fool (1994),Drama
931,Nell (1994),Drama
2065,New Jersey Drive (1995),Crime|Drama
2776,Nina Takes a Lover (1994),Comedy|Romance
657,Natural Born Killers (1994),Action|Thriller
2197,Only You (1994),Comedy|Romance
949,Once Were Warriors (1994),Crime|Drama
3232,Poison Ivy II (1995),Thriller
27,Outbreak (1995),Action|Drama|Thriller
449,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
2842,"Perez Family, The (1995)",Comedy|Romance
2921,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
278,Pulp Fiction (1994),Crime|Drama
3171,Panther (1995),Drama
3382,Pushing Hands (1992),Comedy
2609,Priest (1994),Drama
856,Quiz Show (1994),Drama
2029,Picture Bride (1995),Drama|Romance
858,Queen Margot (La Reine Margot) (1994),Drama|Romance
1191,"Quick and the Dead, The (1995)",Action|Adventure|Western
3240,Roommates (1995),Comedy|Drama
1788,Ready to Wear (Pret-A-Porter) (1994),Comedy
1433,Three Colors: Red (1994),Drama
865,Three Colors: Blue (1993),Drama
2293,Three Colors: White (1994),Drama
867,"Red Firecracker, Green Firecracker (1994)",Drama
2733,Rent-a-Kid (1995),Comedy
2032,Stuart Saves His Family (1995),Comedy
2467,"Swan Princess, The (1994)",Animation|Children's
2034,"Secret of Roan Inish, The (1994)",Drama
2036,"Specialist, The (1994)",Action
375,Stargate (1994),Action|Adventure|Sci-Fi
376,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
119,"Shawshank Redemption, The (1994)",Drama
377,Shallow Grave (1994),Thriller
3301,Suture (1993),Film-Noir|Thriller
1834,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
887,Swimming with Sharks (1995),Comedy|Drama
1919,"Sum of Us, The (1994)",Comedy
2419,National Lampoon's Senior Trip (1995),Comedy
889,To Live (Huozhe) (1994),Drama
382,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
2420,Tales From the Crypt Presents: Demon Knight (1995),Horror
386,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
898,Tales from the Hood (1995),Comedy|Horror
2824,Tom & Viv (1994),Drama
2473,Village of the Damned (1995),Horror|Sci-Fi
191,Tommy Boy (1995),Comedy
597,Vanya on 42nd Street (1994),Drama
2825,"Underneath, The (1995)",Mystery|Thriller
2047,"Walking Dead, The (1995)",Drama|War
901,What's Eating Gilbert Grape (1993),Drama
2331,Virtuosity (1995),Sci-Fi|Thriller
1796,While You Were Sleeping (1995),Comedy|Romance
2050,"War, The (1994)",Adventure|Drama
917,Double Happiness (1994),Drama
197,Muriel's Wedding (1994),Comedy|Romance
2251,"Baby-Sitters Club, The (1995)",Children's
1499,Ace Ventura: Pet Detective (1994),Comedy
199,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
2545,Backbeat (1993),Drama|Musical
2826,Bitter Moon (1992),Drama
418,Bullets Over Broadway (1994),Comedy
101,Clear and Present Danger (1994),Action|Adventure|Thriller
1049,"Client, The (1994)",Drama|Mystery|Thriller
1801,"Corrina, Corrina (1994)",Comedy|Drama|Romance
1927,Crooklyn (1994),Comedy
656,"Crow, The (1994)",Action|Romance|Thriller
2063,Cobb (1994),Drama
1489,"Flintstones, The (1994)",Children's|Comedy
124,Forrest Gump (1994),Comedy|Romance|War
210,Four Weddings and a Funeral (1994),Comedy|Romance
933,Higher Learning (1995),Drama
2724,I Like It Like That (1994),Comedy|Drama|Romance
1225,I Love Trouble (1994),Action|Comedy
1722,It Could Happen to You (1994),Drama|Romance
1226,"Jungle Book, The (1994)",Adventure|Children's|Romance
2951,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
950,"Lion King, The (1994)",Animation|Children's|Musical
951,Little Buddha (1993),Drama
2299,Wes Craven's New Nightmare (1994),Horror
452,"Mask, The (1994)",Comedy|Crime|Fantasy
31,Maverick (1994),Action|Comedy|Western
2829,Mrs. Parker and the Vicious Circle (1994),Drama
1490,Naked Gun 33 1/3: The Final Insult (1994),Comedy
2071,"Paper, The (1994)",Comedy|Drama
962,Reality Bites (1994),Comedy|Drama
1381,Red Rock West (1992),Thriller
1936,Richie Rich (1994),Children's|Comedy
2954,Safe Passage (1994),Drama
663,"River Wild, The (1994)",Action|Thriller
146,Speed (1994),Action|Romance|Thriller
2073,Speechless (1994),Comedy|Romance
1753,Timecop (1994),Action|Sci-Fi
99,True Lies (1994),Action|Adventure|Comedy|Romance
1810,When a Man Loves a Woman (1994),Drama
978,Wolf (1994),Drama|Horror
2077,Wyatt Earp (1994),Western
2078,Bad Company (1995),Action
2735,"Man of No Importance, A (1994)",Drama
2835,S.F.W. (1994),Drama
2425,"Low Down Dirty Shame, A (1994)",Action|Comedy
1940,Boys Life (1995),Drama
3152,"Colonel Chabert, Le (1994)",Drama|Romance|War
2319,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
2729,Jason's Lyric (1994),Crime|Drama
1659,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
1944,Street Fighter (1994),Action
3117,Coldblooded (1995),Action
3304,Fall Time (1995),Drama
2890,"Fear, The (1995)",Horror
3153,Frank and Ollie (1995),Documentary
2983,Mirage (1995),Action|Thriller
1747,Highlander III: The Sorcerer (1994),Action|Sci-Fi
1440,Federal Hill (1994),Drama
2044,In the Mouth of Madness (1995),Horror|Thriller
2045,8 Seconds (1994),Drama
2046,Above the Rim (1994),Drama
1485,Addams Family Values (1993),Comedy
2241,You So Crazy (1994),Comedy
915,"Age of Innocence, The (1993)",Drama
1359,Airheads (1994),Comedy
1923,"Air Up There, The (1994)",Comedy
918,Another Stakeout (1993),Comedy|Thriller
2398,Bad Girls (1994),Western
2279,Barcelona (1994),Comedy|Romance
2053,Being Human (1993),Drama
1848,"Beverly Hillbillies, The (1993)",Comedy
1488,Beverly Hills Cop III (1994),Action|Comedy
1926,Black Beauty (1994),Adventure|Children's
2059,Blink (1994),Thriller
655,Blown Away (1994),Action|Thriller
2061,Blue Chips (1994),Drama
2227,Blue Sky (1994),Drama|Romance
1929,Body Snatchers (1993),Horror|Sci-Fi|Thriller
929,Boxing Helena (1993),Mystery|Romance|Thriller
2064,"Bronx Tale, A (1993)",Drama
1930,Cabin Boy (1994),Comedy
2608,Calendar Girl (1993),Drama
446,Carlito's Way (1993),Crime|Drama
945,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
2376,Clean Slate (1994),Comedy
20,Cliffhanger (1993),Action|Adventure|Crime
216,Coneheads (1993),Comedy|Sci-Fi
948,Color of Night (1994),Drama|Thriller
2586,Cops and Robbersons (1994),Comedy
1751,"Cowboy Way, The (1994)",Action|Comedy
222,Dave (1993),Comedy|Romance
223,Dazed and Confused (1993),Comedy
56,Demolition Man (1993),Action|Sci-Fi
2745,"Endless Summer 2, The (1994)",Documentary
2280,Even Cowgirls Get the Blues (1993),Comedy|Romance
2399,Fatal Instinct (1993),Comedy
964,Farewell My Concubine (1993),Drama|Romance
2803,"Favor, The (1994)",Comedy|Romance
965,Fearless (1993),Drama
1648,Fear of a Black Hat (1993),Comedy
1806,With Honors (1994),Comedy|Drama
2075,Flesh and Bone (1993),Drama|Mystery|Romance
2923,Widows' Peak (1994),Drama
1808,For Love or Money (1993),Comedy
230,"Firm, The (1993)",Drama|Thriller
1228,Free Willy (1993),Adventure|Children's|Drama
979,Fresh (1994),Drama
102,"Fugitive, The (1993)",Action|Thriller
2079,Geronimo: An American Legend (1993),Drama|Western
105,"Getaway, The (1994)",Action
1849,Getting Even with Dad (1994),Comedy
1657,Go Fish (1994),Drama|Romance
2451,"Good Man in Africa, A (1994)",Action|Adventure
2885,Guilty as Sin (1993),Crime|Drama|Thriller
1658,Hard Target (1993),Action|Adventure|Crime|Thriller
1234,Heaven & Earth (1993),Action|Drama|War
1755,Hot Shots! Part Deux (1993),Action|Comedy|War
2452,Live Nude Girls (1995),Comedy
1811,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
1660,"House of the Spirits, The (1993)",Drama|Romance
1947,House Party 3 (1994),Comedy
1257,"Hudsucker Proxy, The (1994)",Comedy|Romance
2453,I'll Do Anything (1994),Comedy|Drama
581,In the Army Now (1994),Comedy|War
151,In the Line of Fire (1993),Action|Thriller
2085,In the Name of the Father (1993),Drama
2702,"Inkwell, The (1994)",Comedy|Drama
1663,What's Love Got to Do with It? (1993),Drama
2087,Jimmy Hollywood (1994),Comedy
2404,Judgment Night (1993),Action
62,Jurassic Park (1993),Action|Adventure|Sci-Fi
256,Kalifornia (1993),Drama|Thriller
1007,Killing Zoe (1994),Thriller
1670,King of the Hill (1993),Drama
3193,Lassie (1994),Adventure|Children's
1545,Last Action Hero (1993),Action|Comedy
1242,Life with Mikey (1993),Comedy
1546,Lightning Jack (1994),Comedy|Western
1952,M. Butterfly (1993),Drama
1547,Made in America (1993),Comedy
2285,Malice (1993),Thriller
1814,"Man Without a Face, The (1993)",Drama
1022,Manhattan Murder Mystery (1993),Comedy|Mystery
535,Menace II Society (1993),Action|Crime|Drama
1024,Executive Decision (1996),Action|Thriller
2207,In the Realm of the Senses (Ai no corrida) (1976),Drama
2807,What Happened Was... (1994),Comedy|Drama|Romance
1119,Much Ado About Nothing (1993),Comedy|Romance
112,Mr. Jones (1993),Drama|Romance
2094,Mr. Wonderful (1993),Comedy|Romance
1537,Mrs. Doubtfire (1993),Comedy
941,Naked (1993),Drama
1750,"Next Karate Kid, The (1994)",Action|Children's
3217,"New Age, The (1994)",Drama
2068,No Escape (1994),Action|Sci-Fi
1932,North (1994),Comedy
946,Orlando (1993),Drama
2069,"Perfect World, A (1993)",Action|Drama
1644,Philadelphia (1993),Drama
947,"Piano, The (1993)",Drama|Romance
957,Poetic Justice (1993),Drama
660,"Program, The (1993)",Action|Drama
1935,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi
959,Radioland Murders (1994),Comedy|Mystery|Romance
1114,"Ref, The (1994)",Comedy
55,"Remains of the Day, The (1993)",Drama
1804,Renaissance Man (1994),Comedy|Drama|War
662,Rising Sun (1993),Action|Drama|Mystery
1539,"Road to Wellville, The (1994)",Comedy
963,Robocop 3 (1993),Sci-Fi|Thriller
1491,Robin Hood: Men in Tights (1993),Comedy
460,Romeo Is Bleeding (1993),Crime|Thriller
976,Romper Stomper (1992),Action|Drama
1653,Ruby in Paradise (1993),Drama
1319,Rudy (1993),Drama
2076,"Saint of Fort Washington, The (1993)",Drama
3219,"Savage Nights (Nuits fauves, Les) (1992)",Drama
610,Schindler's List (1993),Drama|War
2668,"Scout, The (1994)",Drama
980,Searching for Bobby Fischer (1993),Drama
3378,Second Best (1994),Drama
239,"Secret Garden, The (1993)",Children's|Drama
987,Serial Mom (1994),Comedy|Crime|Horror
2081,"Shadow, The (1994)",Action
1265,Shadowlands (1993),Drama|Romance
1450,Short Cuts (1993),Drama
2961,"Simple Twist of Fate, A (1994)",Drama
1943,Sirens (1994),Comedy|Drama
988,Six Degrees of Separation (1993),Drama
1542,Sleepless in Seattle (1993),Comedy|Romance
2301,Sliver (1993),Thriller
493,Blade Runner (1982),Film-Noir|Sci-Fi
1710,Son in Law (1993),Comedy
249,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
2428,Striking Distance (1993),Action
2585,Harlem (1993),Drama
580,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi
2084,Surviving the Game (1994),Action|Adventure|Thriller
1824,Terminal Velocity (1994),Action
1662,Thirty-Two Short Films About Glenn Gould (1993),Documentary
1951,Threesome (1994),Comedy|Romance
255,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
1241,"Three Musketeers, The (1993)",Action|Adventure|Comedy
1552,Tombstone (1993),Western
3249,Trial by Jury (1994),Thriller
515,True Romance (1993),Action|Crime|Romance
517,"War Room, The (1993)",Documentary
3115,Mamma Roma (1962),Drama
1103,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy
1019,Killer (Bulletproof Heart) (1994),Thriller
1021,Welcome to the Dollhouse (1995),Comedy|Drama
3311,Germinal (1993),Drama
2430,Chasers (1994),Comedy
1023,Cronos (1992),Horror
3259,Naked in New York (1994),Comedy|Romance
3357,Kika (1993),Drama
3014,Bhaji on the Beach (1993),Comedy|Drama
1248,Little Big League (1994),Children's|Comedy
1553,"Slingshot, The (K�disbellan ) (1993)",Comedy|Drama
672,"Wedding Gift, The (1994)",Drama
3131,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
1389,Spanking the Monkey (1994),Comedy|Drama
2265,"Little Rascals, The (1994)",Children's|Comedy
2266,Andre (1994),Adventure|Children's
2236,"Hour of the Pig, The (1993)",Drama|Mystery
683,Princess Caraboo (1994),Drama
684,"Celluloid Closet, The (1995)",Documentary
2782,Dear Diary (Caro Diario) (1994),Comedy|Drama
1517,"Brady Bunch Movie, The (1995)",Comedy
160,Home Alone (1990),Children's|Comedy
161,Ghost (1990),Comedy|Romance|Thriller
554,Aladdin (1992),Animation|Children's|Comedy|Musical
45,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
73,Dances with Wolves (1990),Adventure|Drama|Western
355,Batman (1989),Action|Adventure|Crime|Drama
78,"Silence of the Lambs, The (1991)",Drama|Thriller
692,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
357,Beauty and the Beast (1991),Animation|Children's|Musical
1130,Pinocchio (1940),Animation|Children's
169,Pretty Woman (1990),Comedy|Romance
3364,Window to Paris (1994),Comedy
2106,"Wild Bunch, The (1969)",Western
2861,Love and a .45 (1994),Thriller
2282,"Great Day in Harlem, A (1994)",Documentary
2103,"Bye Bye, Love (1995)",Comedy
1515,One Fine Day (1996),Drama|Romance
2401,Candyman: Farewell to the Flesh (1995),Horror
3332,Century (1993),Drama
240,Fargo (1996),Crime|Drama|Thriller
2283,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children's
489,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
997,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
1945,"Pallbearer, The (1996)",Comedy
2284,Jane Eyre (1996),Drama|Romance
2701,Loaded (1994),Drama|Thriller
1083,Bread and Chocolate (Pane e cioccolata) (1973),Drama
1239,"Aristocats, The (1970)",Animation|Children's
999,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Drama
2872,Two Much (1996),Comedy|Romance
1813,Ed (1996),Comedy
3112,My Favorite Season (1993),Drama
1452,"Last Supper, The (1995)",Drama|Thriller
1453,Primal Fear (1996),Drama|Thriller
3208,Carried Away (1996),Drama|Romance
2455,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical
3392,Land and Freedom (Tierra y libertad) (1995),War
3310,Denise Calls Up (1995),Comedy
2250,"Family Thing, A (1996)",Comedy|Drama
1495,Sgt. Bilko (1996),Comedy
3352,Jack and Sarah (1995),Romance
2504,Girl 6 (1996),Comedy
2097,Diabolique (1996),Drama|Thriller
1388,Nelly & Monsieur Arnaud (1995),Drama
3,Courage Under Fire (1996),Drama|War
5,Mission: Impossible (1996),Action|Adventure|Mystery
1390,Cold Fever (� k�ldum klaka) (1994),Comedy|Drama
585,Moll Flanders (1996),Drama
3255,"301, 302 (1995)",Mystery
682,Dragonheart (1996),Action|Adventure|Fantasy
2377,Eddie (1996),Comedy
2243,Billy's Holiday (1995),Drama
341,Purple Noon (1960),Crime|Thriller
352,James and the Giant Peach (1996),Animation|Children's|Musical
1562,Fear (1996),Thriller
165,Kids in the Hall: Brain Candy (1996),Comedy
3326,Faithful (1996),Comedy
1395,Underground (1995),War
2737,Bloodsport 2 (1995),Action
1396,Pather Panchali (1955),Drama
3027,Aparajito (1956),Drama
3029,"World of Apu, The (Apur Sansar) (1959)",Drama
367,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
